nsp|fn|fn_args|fn_returns|fn_kind|security_definer|fn_owner|fn_config|fn_lang|src_md5|body_refs_miniapp|fn_acl
admin|grant_user_credits|p_user_id uuid, p_amount integer, p_title text, p_body text, p_request_id uuid, p_allow_duplicate boolean|jsonb|f|t|postgres|search_path=pg_catalog|plpgsql|46cad4fb338928546b64ceb7ca2585a4|t|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|is_managed_config_key|p_config_key text|boolean|f|f|postgres|search_path=pg_catalog|sql|c423c135740527f51f98262d27aa30a1|f|postgres=X/postgres
admin|is_registered_admin||boolean|f|t|postgres|search_path=pg_catalog|plpgsql|5f306595150343ef982d6177c43142c1|f|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|list_announcements||SETOF miniapp.notifications|f|t|postgres|search_path=pg_catalog|plpgsql|3d05cf6b95ca827109c1d1d20b5f9a84|t|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|list_character_layout_releases|p_limit integer|TABLE(id uuid, layout_version integer, release_kind text, source_draft_id uuid, rollback_target_release_id uuid, rollback_target_version integer, listed_ids uuid[], delisted_ids uuid[], deleted_ids uuid[], listed_count integer, delisted_count integer, deleted_count integer, released_by_email text, released_by_name text, released_at timestamp with time zone)|f|t|postgres|search_path=pg_catalog|plpgsql|842e60d3e68ee440bf823faa38f6fab6|f|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|lookup_user_for_credit_grant|p_identifier text|jsonb|f|t|postgres|search_path=pg_catalog|plpgsql|ce7d4053b92fca706513320e054cc033|t|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|publish_character_layout_draft|p_draft_id uuid|integer|f|t|postgres|search_path=pg_catalog|plpgsql|d9ad119fe01f1049983135fce4e208bb|t|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|publish_config_draft|p_draft_id uuid|admin.config_releases|f|t|postgres|search_path=pg_catalog|plpgsql|3bb560bc33603c1ef314d5deaa2f46bb|t|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|reorder_characters|p_character_ids uuid[]|boolean|f|t|postgres|search_path=pg_catalog|plpgsql|0c8fd04078fe9ddfb74668e1d56c19a8|t|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|rollback_character_layout_release|p_release_id uuid, p_expected_layout_version integer|integer|f|t|postgres|search_path=pg_catalog|plpgsql|fea5f55e568fab4f516fc2f8630be593|t|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|rollback_config_release|p_release_id uuid|admin.config_releases|f|t|postgres|search_path=pg_catalog|plpgsql|643362dd7e19708bc43cebbf5dbbbd5c|t|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|save_character_layout_draft|p_listed_ids uuid[], p_delisted_ids uuid[], p_deleted_ids uuid[], p_base_layout_version integer|admin.character_layout_drafts|f|t|postgres|search_path=pg_catalog|plpgsql|b1ae95b3f9edf72d3c5cd743bc6f4bb1|f|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|save_config_draft|p_environment text, p_config_key text, p_value jsonb, p_text_value text, p_description text|admin.config_drafts|f|t|postgres|search_path=pg_catalog|plpgsql|63ac53d1f5dc73b1a03f11f80e563a9e|t|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|set_announcement_published|p_id uuid, p_is_published boolean|miniapp.notifications|f|t|postgres|search_path=pg_catalog|plpgsql|83b768fd3900c14ecdb5540b7d5691da|t|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|set_character_enabled|p_character_id uuid, p_enabled boolean|boolean|f|t|postgres|search_path=pg_catalog|plpgsql|2d85053fe650b410d8e3bcedb2214f0b|t|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|set_operator_name|p_display_name text|admin.admin_users|f|t|postgres|search_path=pg_catalog|plpgsql|fdebf2fd7f4380df13d04424d8b9c0ea|f|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|snapshot_operator_name||trigger|f|t|postgres|search_path=pg_catalog|plpgsql|5380a1b7bdc700adc2949293615324f1|f|postgres=X/postgres
admin|update_announcement|p_id uuid, p_category text, p_title text, p_body text, p_sort_order integer|miniapp.notifications|f|t|postgres|search_path=pg_catalog|plpgsql|9c2ee27194307fc4c01f2727851778c7|t|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|upsert_config_draft|p_environment text, p_config_key text, p_value jsonb, p_text_value text, p_description text|admin.config_drafts|f|t|postgres|search_path=pg_catalog|plpgsql|19c719ba69701d06eca647bed7592cd3|f|postgres=X/postgres authenticated=X/postgres service_role=X/postgres
admin|validate_character_layout|p_listed_ids uuid[], p_delisted_ids uuid[], p_deleted_ids uuid[]|void|f|f|postgres|search_path=pg_catalog|plpgsql|cf9c0296ec1166953b875e263fdf5adf|t|postgres=X/postgres
admin|validate_fixed_llm_deduction_config|p_value jsonb|void|f|f|postgres|search_path=pg_catalog|plpgsql|af932ea8af0a02e9097cf766c64bc588|f|postgres=X/postgres
admin|validate_free_quota_exhausted_dialog_config|p_value jsonb|void|f|f|postgres|search_path=pg_catalog|plpgsql|1cdf31af3c263b6f840cbef8228a61a5|f|postgres=X/postgres
admin|validate_lobby_pinned_characters|p_value jsonb|void|f|f|postgres|search_path=pg_catalog|plpgsql|161b752507d20fece1afe0dfe0f3da83|f|postgres=X/postgres
admin|validate_lobby_ranking_params|p_value jsonb|void|f|f|postgres|search_path=pg_catalog|plpgsql|8907187007863ed72465874097137ceb|f|postgres=X/postgres
admin|validate_managed_config_value|p_config_key text, p_value jsonb, p_text_value text|void|f|f|postgres|search_path=pg_catalog|plpgsql|a65adc25f51dbe5a5b91931709ac987e|f|postgres=X/postgres
admin|validate_managed_config_value_before_fixed_billing|p_config_key text, p_value jsonb, p_text_value text|void|f|f|postgres|search_path=pg_catalog|plpgsql|d2621ae91ba2957375abed820d3751bd|f|postgres=X/postgres
admin|validate_managed_config_value_before_payment_prompt|p_config_key text, p_value jsonb, p_text_value text|void|f|f|postgres|search_path=pg_catalog|plpgsql|4652e86ca93217145375d86d30d14530|f|postgres=X/postgres
admin|validate_model_catalog_core|p_value jsonb|void|f|f|postgres|search_path=pg_catalog|plpgsql|4187d8abd500ef7efb3dd8f95a1380a8|f|postgres=X/postgres
